"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 19 17:48:20 GMT 2025","Fri Sep 19 17:48:20 GMT 2025","0","","","","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests.CheckAccountCreation(comp: AccountCreationData { Account = CompetitiveBackend.Core.Objects.Account, Password = 1234 }, expected: False)","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests.CheckAccountCreation(AccountCreationData comp, Boolean expected)",""
"passed","Fri Sep 19 17:48:20 GMT 2025","Fri Sep 19 17:48:20 GMT 2025","1","","","","ServicesUnitTests.ValidatorTests.PasswordConstraintTests","ServicesUnitTests.ValidatorTests.PasswordConstraintTests.LettersPasswordTest(password: ""12344919293921391293"", isValid: False)","ServicesUnitTests.ValidatorTests.PasswordConstraintTests.LettersPasswordTest(String password, Boolean isValid)",""
"passed","Fri Sep 19 17:48:20 GMT 2025","Fri Sep 19 17:48:20 GMT 2025","4","","","","ServicesUnitTests.ServiceTests.RewardDescriptionServiceTests","ServicesUnitTests.ServiceTests.RewardDescriptionServiceTests.RewardDescriptionServiceTests_GetRewardIcon","ServicesUnitTests.ServiceTests.RewardDescriptionServiceTests.RewardDescriptionServiceTests_GetRewardIcon",""
"passed","Fri Sep 19 17:48:20 GMT 2025","Fri Sep 19 17:48:20 GMT 2025","0","","","","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests.CheckAccount(comp: Account { Email = ""modus ponens"", Id = null, Login = ""amo"" }, expected: False)","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests.CheckAccount(Account comp, Boolean expected)",""
"passed","Fri Sep 19 17:49:46 GMT 2025","Fri Sep 19 17:49:49 GMT 2025","3209","","","","RepositoriesTests.RepositoriesTests.CompetitionRewardRepositoryTests","RepositoriesTests.RepositoriesTests.CompetitionRewardRepositoryTests.AddCompetitionReward_DifferentRanks(cond: PlaceGrantCondition { maxPlace = 2, minPlace = 1, Type = ""place"" }, idx: 3)","RepositoriesTests.RepositoriesTests.CompetitionRewardRepositoryTests.AddCompetitionReward_DifferentRanks(GrantCondition cond, Int32 idx)",""
"passed","Fri Sep 19 17:48:20 GMT 2025","Fri Sep 19 17:48:20 GMT 2025","5","","","","ServicesUnitTests.ServiceTests.RewardDescriptionServiceTests","ServicesUnitTests.ServiceTests.RewardDescriptionServiceTests.RewardDescriptionServiceTests_UpdateRewardDescription_Ok2","ServicesUnitTests.ServiceTests.RewardDescriptionServiceTests.RewardDescriptionServiceTests_UpdateRewardDescription_Ok2",""
"passed","Fri Sep 19 17:50:41 GMT 2025","Fri Sep 19 17:50:42 GMT 2025","1520","","","","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests.AddCompetitionLevel_Failure","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests.AddCompetitionLevel_Failure",""
"passed","Fri Sep 19 17:49:23 GMT 2025","Fri Sep 19 17:49:27 GMT 2025","4141","","","","RepositoriesTests.RepositoriesTests.RewardDescriptionRepositoryTests","RepositoriesTests.RepositoriesTests.RewardDescriptionRepositoryTests.SetRewardIcon_Failure","RepositoriesTests.RepositoriesTests.RewardDescriptionRepositoryTests.SetRewardIcon_Failure",""
"passed","Fri Sep 19 17:48:20 GMT 2025","Fri Sep 19 17:48:20 GMT 2025","0","","","","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests.CheckAccountCreation(comp: AccountCreationData { Account = CompetitiveBackend.Core.Objects.Account, Password = 12345678a }, expected: False)","ServicesUnitTests.ValidatorTests.PlayerProfileValidatorTests.CheckAccountCreation(AccountCreationData comp, Boolean expected)",""
"passed","Fri Sep 19 17:50:15 GMT 2025","Fri Sep 19 17:50:18 GMT 2025","2751","","","","RepositoriesTests.RepositoriesTests.PlayerParticipationRepositoryTests","RepositoriesTests.RepositoriesTests.PlayerParticipationRepositoryTests.GetPlayerParticipations(dt: DataLimiter { PartitionIndex = 0, Partition = 0, HasNoLimit = True, FirstIndex = 0, LastIndex = 0 }, bindPlayer: False, bindCompetition: True)","RepositoriesTests.RepositoriesTests.PlayerParticipationRepositoryTests.GetPlayerParticipations(DataLimiter dt, Boolean bindPlayer, Boolean bindCompetition)",""
"passed","Fri Sep 19 17:50:45 GMT 2025","Fri Sep 19 17:50:47 GMT 2025","1532","","","","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests.UpdateCompetitionLevelData_Failure","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests.UpdateCompetitionLevelData_Failure",""
"passed","Fri Sep 19 17:48:20 GMT 2025","Fri Sep 19 17:48:20 GMT 2025","6","","","","ServicesUnitTests.ServiceTests.PlayerRewardServiceTests","ServicesUnitTests.ServiceTests.PlayerRewardServiceTests.PlayerRewardServiceTest_GrantRewardToPlayer_Failure","ServicesUnitTests.ServiceTests.PlayerRewardServiceTests.PlayerRewardServiceTest_GrantRewardToPlayer_Failure",""
"passed","Fri Sep 19 17:50:36 GMT 2025","Fri Sep 19 17:50:39 GMT 2025","2791","","","","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests.AddCompetitionLevel","RepositoriesTests.RepositoriesTests.CompetitionLevelRepositoryTests.AddCompetitionLevel",""
"passed","Fri Sep 19 17:48:20 GMT 2025","Fri Sep 19 17:48:20 GMT 2025","3","","","","ServicesUnitTests.ServiceTests.CompetitionLevelServiceTests","ServicesUnitTests.ServiceTests.CompetitionLevelServiceTests.UpdateCompetitionLevelInfo_CallsRepositoryWithData","ServicesUnitTests.ServiceTests.CompetitionLevelServiceTests.UpdateCompetitionLevelInfo_CallsRepositoryWithData",""
"passed","Fri Sep 19 17:49:15 GMT 2025","Fri Sep 19 17:49:18 GMT 2025","3630","","","","RepositoriesTests.RepositoriesTests.CompetitionRewardRepositoryTests","RepositoriesTests.RepositoriesTests.CompetitionRewardRepositoryTests.UpdateCompetitionReward(cond: RankGrantCondition { maxRank = 1, minRank = 0.5, Type = ""rank"" }, idx: 1)","RepositoriesTests.RepositoriesTests.CompetitionRewardRepositoryTests.UpdateCompetitionReward(GrantCondition cond, Int32 idx)",""
